POS_TAG ID POS NEG LIST_OF_WORDS
n 95 0.125 0.0 जिम्मेदारी,जिम्मेवारी,जिम्मावारी,जिम्मादारी,जिम्मा,ठीका,ठेका,गारंटी,उत्तरदायित्व,दायित्व,जवाबदेही,भार,बोझ
n 14976 0.0 0.625 अचिंता,अचिन्ता,निश्चिंतता,निश्चिन्तता,निश्चिंतई,बेफ़िक्री,बेफ़िक़्री,बेफिक्री,बेफिकरी
n 27329 0.125 0.5 दिखाना,दिखलाना
n 3643 0.0 0.25 प्रभाव,असर,छाप,रङ्ग,तासीर,अनुभाव
n 5581 0.375 0.125 तिल
n 12020 0.5 0.25 आकर्षण,खिंचाव,अनुकर्षण,अनुकर्ष,लस,अपाहरण
n 13874 0.0 0.75 कुरूपता,बदसूरती,अपाटव
n 4253 0.25 0.5 विकार,विकृति,बिगाड़,अपभ्रंश,कसर
n 5998 0.0 0.0 अणु,मॉलिक्यूल
n 10221 0.5 0.0 सादगी,सादापन
n 11047 0.0 0.0 क्रिकेट
n 14399 0.0 0.0 पोलो,पोलों
n 14396 0.0 0.0 फुटबाल,फ़ुटबाल
n 21377 0.0 0.0 बैडमिंटन
a 2263 0.0 0.75 दिवालिया,दीवालिया,दामासाह
a 2296 0.0 0.0 दोहत्था,दुहत्था
a 24486 0.0 0.0 सव्यसाची
a 11789 0.0 0.0 दायाँ,दाँयांॅ,दाहिना,अपसव्य
a 9622 0.0 0.0 बाएँ,बाएँ_बाज़ू,बायें
a 1332 0.0 0.0 सींगदार,विषाणी,शृंगयुक्त,शृंगी,सींगी
a 31924 0.0 0.0 बेसिंगा,बेसिंघा,सींगहीन,मुंडा,शृंगहीन,विशृंग
a 12341 0.125 0.0 गोल,वृत्ताकार,गोलाकार,चक्राकार,वर्तुलाकार,वर्तुल,मंडलाकार,चंद्राकार,चन्द्राकार
a 5916 0.0 0.0 भुगतान_कृत,अदा,चुकाया_हुआ,चुकता
n 8504 0.0 0.0 आँख_मिचौली,आँख-मिचौली,आँखमिचौली,लुकाछिपी,आँख_मिचौनी,चोरमिहीचनी,चोर-मिहीचनी,चोर_मिहीचनी,आइस_पाइस,आइस-पाइस,चोरमिहीचिनी,चोर-मिहीचिनी,मिचौनी,मिचौली,चोर_मिहीचिनी
n 17410 0.0 0.0 ताश
n 17416 0.0 0.0 मोरचा,मोर्चा
n 17415 0.0 0.0 रमी
a 11126 0.125 0.0 आयताकार
a 1916 0.0 0.0 पवित्र,पावन,पुण्य,शुद्ध,पाक,पाकीजा,पाकीज़ा
a 6308 0.0 0.0 धार्मिक,मजहबी,मज़हबी
a 494 0.5 0.0 प्रेरणादायक,प्रेरणात्मक,प्रेरणास्पद,प्रेरणाजन्य
a 7055 0.0 0.625 धर्मनिरपेक्ष
a 23179 0.5 0.125 सकुशल,कुशलतापूर्वक,कुशलपूर्वक,सही_सलामत,सही-सलामत,बख़ैर,बखैर,बख़ैरीय,बखैरीयत,सुरक्षिततः
n 2044 0.0 0.0 बिलियर्ड,बिल्यर्ड
n 27467 0.0 0.0 पूल,पाकेट_बिलियर्ड्स,पॉकेट_बिलियर्ड्स
n 13694 0.0 0.0 अवतरण,उतरना
n 4746 0.0 0.0 शर्त,बाज़ी,बाजी,दाँव,होड़,दांव
n 537 0.0 0.0 कोठरी,खोली,कोष्ठ
n 33755 0.0 0.0 समारोह,उत्सव
n 8447 0.25 0.125 हुड़दंग
a 7958 0.0 0.125 आत्मघाती
a 550 0.0 0.375 अस्वीकृत,नामंजूर,नामंज़ूर,सहमतिहीन,सहमति_अप्राप्त
a 27802 0.0 0.0 पददलित,पदाक्रांत,दलित
a 24324 0.0 0.25 डुप्लीकेट,समरूप
a 4473 0.625 0.125 विपरीत,उलटा,उल्टा,विरुद्ध,अन्यथा
a 27803 0.0 0.0 अनेक,कई,विविध,नाना,एकाधिक,कतिपय,अनेकानेक,तमाम,अनेग
a 22392 0.0 0.0 कुरबान,बलिदान,कुर्बान,क़ुरबान,क़ुर्बान,निछावर,न्योछावर,न्यौछावर,फिदा,फ़िदा
a 155 0.0 0.625 और,अन्य
a 21973 0.0 0.0 विपरीत,उलटा,उल्टा,विरुद्ध,अन्यथा
n 3857 0.75 0.0 हँसी-मज़ाक़,हँसी-मजाक,हँसी_मज़ाक़,हँसी_मजाक,खिलवाड़,खेलवाड़,दिल्लगी,ठिठोली,ठट्ठा,हास्य-परिहास,हास-परिहास,विनोद,कौतुक,हँसी,परिहास,चुहल,प्रहसन,मज़ाक,मजाक,हास्य,विनोदोक्ति,अभिहास
n 11626 0.125 0.25 धमा-चौकड़ी,धमाचौकड़ी,उछल-कूद,उछलकूद,कूद-फाँद,कूदफाँद
n 28266 0.0 0.0 प्रतिपादन,प्रतिपत्ति,वाच्य
n 13690 0.0 0.0 बैले
a 26218 0.0 0.0 अग्रभाग,अग्र_भाग,अगला_भाग,अगाड़ी,आगा,अगाड़ू,अगारी
a 6683 0.0 0.25 असंतोषजनक,असंतोषप्रद
a 4472 0.125 0.0 विद्वतापूर्ण,पांडित्यपूर्ण
a 3190 0.0 0.75 अवैज्ञानिक,विज्ञान_विरूद्ध
a 6929 0.375 0.0 भगदड़,भागमभाग,भागाभाग
a 13859 0.5 0.0 अग्रसर
a 2493 0.25 0.375 गुप्ततः,गुपचुप_रूप_से,चोरी_छिपे
n 27512 0.0 0.0 वाद्ययंत्र,वाद्य_यंत्र,बाजा,वाद्य,साज़,साज,वादित्र
n 3452 0.0 0.0 लोरी
n 2671 0.0 0.0 अभिनय,अभिनीति
a 10436 0.0 0.75 असांप्रदायिक
a 17376 0.0 0.0 अगला,दूसरा
a 2549 0.25 0.375 निश्चित,निर्धारित,नियत,ठीक,निर्दिष्ट
a 530 0.25 0.0 स्वार्थपरता,खुदगरजी,ख़ुदगरजी
a 9298 0.375 0.0 निस्वार्थ,निःस्वार्थ
a 23513 0.375 0.0 वरिष्ठ
a 7098 0.375 0.0 वयस्क,बालिग,सयाना,स्याना,अपोगंड,बालिग़
n 5802 0.0 0.0 धक्कमधक्का,धक्कम-धक्का,धक्का-धुक्की,धक्काधुक्की,ठेलाठेली,ठेला-ठेली,ठेलमठेल,पेलापेली,पेला-पेली,पेलमपेल
n 6256 0.0 0.0 पलायन,अपगमन,अपगम,अपयान,अप्यय
a 4530 0.0 0.625 संवेदनशील,कोमलमनस्क
a 7017 0.0 0.0 वाक्य,जुमला
a 16126 0.0 0.0 प्रसारित
a 25612 0.0 0.75 संक्रमित
a 10244 0.625 0.0 सुगम्य,सुगम
n 29176 0.0 0.0 काम_करना,कार्य_करना,करना
n 35332 0.0 0.0 शौकिया
n 28213 0.0 0.0 सुविधा
n 10002 0.0 0.0 लोकसेवा,जनसेवा
n 6573 0.0 0.0 शौकिया
n 28139 0.0 0.0 सेवा
a 2497 0.125 0.0 विपरीत,उलटा,उल्टा,विरुद्ध,विलोम,प्रतीप,अपसव्य
a 5163 0.125 0.0 चयनित,चयन_कृत,चयित,चुना,चुनिंदा,चुनिन्दा,वरित
a 6526 0.125 0.0 निर्वाचित,चुना_हुआ
a 28892 0.0 0.0 अचयनित,अचयित
a 5205 0.0 0.0 काम_चलाऊ,काम-चलाऊ
a 16668 0.0 0.75 अनावासिक
a 30976 0.0 0.0 निर्णीत,निर्णित,निपटा_हुआ,तय,तयशुदा
a 1266 0.0 0.625 प्रतिगामी,पश्चगामी,पश्चगंता
a 23395 0.0 0.625 डाँवाडोल,डाँवाँडोल
a 4868 0.0 0.0 प्रवासी,प्रोषित,आप्रवासी,अप्रवासी
a 971 0.0 0.875 घुमक्कड़,घुमंतू,घुमन्तू,पर्यटनप्रिय,यायावर,जहाँगर्द,घूमनेवाला,रमता,भ्रमणशील,भ्रमणीय,अतिचारी,अध्वगामी,ग़श्ती,गश्ती,घुमना
